"Add %1 to Cart","Agregar %1 al Carrito"
"Add to Cart %1","Agregar al Carrito %1"
"Add to cart selected products from list","Agregar al carrito los productos seleccionados"
"Add to Cart","Agregar al Carrito"
"Add To Cart","Agregar al Carrito"
"Active filtering","Filtros activos"
"Back to main categories","Volver a categorías principales"
"Carousel","Carrusel"
"Cart","Carrito"
"Cart is empty","El carrito está vacío"
"Click to view image in fullscreen","Clic para ver imagen en pantalla completa"
"Close fullscreen","Cerrar pantalla completa"
"Close menu","Cerrar menú"
"Close message","Cerrar mensaje"
"Close minicart","Cerrar minicarrito"
"Confirm password hidden","Contraseña de confirmación oculta"
"Contact","Contacto"
"Contact Details","Datos de contacto"
"Could not add item to wishlist.","No se pudo agregar el artículo a la lista de deseos."
"Could not add item to your Wish List.","No se pudo agregar el artículo a tu lista de deseos."
"Could not remove all item from compare.","No se pudieron eliminar todos los artículos de la comparación."
"Could not remove item from compare.","No se pudo eliminar el artículo de la comparación."
"Decrease the quantity","Disminuir la cantidad"
"Display more","Mostrar más"
"Exit fullscreen","Salir de pantalla completa"
"Filter %1","Filtrar %1"
"Go to page %1","Ir a página %1"
"Go to slide page %1","Ir a la diapositiva %1"
"Hide password","Ocultar contraseña"
"Increase the quantity","Aumentar la cantidad"
"Item","Artículo"
"Items","Artículos"
"Loading...","Cargando..."
"Max characters length","Longitud máxima de caracteres"
"My Cart","Mi Carrito"
"Next","Siguiente"
"No items in your cart","No hay artículos en tu carrito"
"No products to show","No hay productos para mostrar"
"Open menu","Abrir menú"
"Open search","Abrir búsqueda"
"Page","Página"
"Password hidden","Contraseña oculta"
"Password shown","Contraseña visible"
"Previous","Anterior"
"Product has been added to the cart.","El producto fue agregado al carrito."
"Product name","Nombre del producto"
"Qty","Cant."
"Remove","Eliminar"
"Remove from compare","Eliminar de comparación"
"Remove item","Eliminar artículo"
"Results","Resultados"
"Search","Buscar"
"Search entire store here...","Buscar en toda la tienda..."
"Search for","Buscar"
"See All","Ver todo"
